,song_title,artists,song_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time signature
90,Never Trust a Man Without a Horribly Embarassing Secret,['Bomb the Music Industry!'],spotify:track:4ouQXSQAwQKB5GqpH06EHz,0.381,0.957,5.0,-4.825,0.0,0.187,0.0365,0.0,0.588,0.421,121.24,235267.0,4.0
91,It Shits!!!,['Bomb the Music Industry!'],spotify:track:0iK6A9jZPZRJhAOedvXIBm,0.55,0.966,7.0,-3.468,1.0,0.203,0.0172,0.0,0.429,0.409,128.029,161720.0,4.0
92,Kid,['The Bouncing Souls'],spotify:track:2o4RWENIbybNNF2DwU3sVS,0.363,0.945,0.0,-6.698,1.0,0.109,6.46e-05,0.000134,0.0791,0.428,119.636,170160.0,4.0
93,(Shut) Up the Punx!!!,['Bomb the Music Industry!'],spotify:track:1laAOz0GfeRhzB0G0x8b36,0.485,0.99,0.0,-1.855,1.0,0.174,0.321,2.62e-06,0.165,0.385,122.477,154067.0,4.0
94,Can I Pay My Rent in Fun?,['Bomb the Music Industry!'],spotify:track:2PYLQWYcyV78XvIiarwtIh,0.497,0.969,7.0,-4.276,1.0,0.161,0.0895,0.0,0.177,0.378,127.447,181227.0,4.0
95,'87,['The Bouncing Souls'],spotify:track:0Hlyz1JgBO23tNiW0ISmjJ,0.366,0.931,7.0,-6.088,1.0,0.0463,0.00154,7.69e-06,0.0767,0.663,165.03,207573.0,4.0
96,21st Century (Digital Boy),['Bad Religion'],spotify:track:7C794YeXiiSdlvGLxgabkd,0.447,0.979,5.0,-3.742,1.0,0.0565,6.71e-05,0.0,0.316,0.633,133.685,169013.0,4.0
97,Progress,['Bad Religion'],spotify:track:6H12nfM8hBufUCIkxLU6bF,0.294,0.988,1.0,-2.993,0.0,0.103,0.000794,0.0,0.113,0.383,151.426,135120.0,4.0
98,The Party Song,['blink-182'],spotify:track:2Q3FJOefslKB30ubrYiRjK,0.343,0.94,11.0,-4.068,1.0,0.156,0.103,0.0,0.376,0.888,117.714,139200.0,4.0
99,Pathetic,['blink-182'],spotify:track:2Meangpbyvif2jmc1Uf2al,0.234,0.958,11.0,-4.64,1.0,0.0816,8.54e-06,3.62e-06,0.206,0.532,101.935,148040.0,4.0
100,Rebel Yell,['Assorted Jelly Beans'],spotify:track:1K5BiDajH3vG1DEIzSfI9x,0.39,0.98,9.0,-4.112,0.0,0.0977,0.0257,0.0,0.161,0.775,99.28,159907.0,4.0
101,Braindead,['Assorted Jelly Beans'],spotify:track:2w0vDCh1aZtnD4gH4SnCgq,0.478,0.974,5.0,-6.915,1.0,0.0638,0.0331,0.0,0.699,0.853,90.274,158440.0,4.0
102,Plain Life,['Assorted Jelly Beans'],spotify:track:4MzB7DQDIjDQfTuF7amMur,0.192,0.935,7.0,-6.32,1.0,0.108,0.0108,1.91e-06,0.183,0.602,180.025,141827.0,4.0
103,No Time,['Assorted Jelly Beans'],spotify:track:5VWf86U6kaHwVa5FrlQaxf,0.39,0.966,9.0,-5.183,1.0,0.0774,0.0787,0.000191,0.0815,0.346,102.239,144093.0,4.0
104,Like the Angel,['Rise Against'],spotify:track:4t2rjxCXIJnBmRBkXJOYa5,0.512,0.976,10.0,-3.092,0.0,0.0861,0.000747,2.52e-05,0.215,0.428,95.465,166880.0,4.0
105,Join the Ranks (Bonus Track),['Rise Against'],spotify:track:3HgGd1rkwFC379a2X1pTdV,0.345,0.985,8.0,-4.211,1.0,0.314,0.000856,0.00175,0.326,0.221,172.032,86760.0,4.0
106,Everyday,['Authority Zero'],spotify:track:1GqghyEIvhVvTncgv1wcRL,0.28,0.997,11.0,-2.227,0.0,0.224,0.0041,1.38e-06,0.327,0.248,106.327,145133.0,3.0
107,Amoeba,['Adolescents'],spotify:track:1xQE0QHrmJUQweLoMB0ZWC,0.231,0.962,4.0,-7.341,1.0,0.0753,7.97e-05,0.00175,0.803,0.534,189.29,186627.0,4.0
108,Stickin In My Eye,['NOFX'],spotify:track:1ffWlUs0zDj4ffAb1lRij2,0.299,0.97,9.0,-7.494,1.0,0.0799,0.0011,0.00752,0.0994,0.232,153.528,144467.0,4.0
109,Mass Nerder,['Descendents'],spotify:track:0B85SUclKXD11e2ZDoHFIB,0.345,0.99,9.0,-5.411,1.0,0.145,0.00371,3.14e-05,0.289,0.332,138.861,167560.0,4.0
110,No Cigar,['Millencolin'],spotify:track:3KLkRy9l3us98SIp6mmxkk,0.383,0.986,9.0,-2.796,1.0,0.0617,0.000287,0.0,0.179,0.578,157.871,163227.0,4.0
111,Fix Me,['Rise Against'],spotify:track:3fzF5EIcJVoqIF1gOr7jEE,0.287,0.98,4.0,-2.13,0.0,0.184,0.013,0.0,0.079,0.628,189.181,54987.0,4.0
112,(I Wanna) Pierce My Brain,['Rubber City Rebels'],spotify:track:2APUpnaKIiyTsHJsaVQGWN,0.362,0.961,1.0,-5.075,1.0,0.0794,0.00163,0.000123,0.31,0.62,190.916,123453.0,4.0
113,Seed,['Sublime'],spotify:track:6vGz9D15KduwX4W2f7KX9j,0.412,0.963,0.0,-4.332,1.0,0.194,0.00231,0.0,0.11,0.356,92.325,130240.0,4.0
114,Viva La Revolution,['The Adicts'],spotify:track:5Q11zvDOguTbqECWZ2H9v1,0.476,0.734,11.0,-10.075,1.0,0.0333,0.0206,0.0014,0.123,0.968,103.037,226507.0,4.0
115,Armageddon,['Alkaline Trio'],spotify:track:0okEeHYqnA5z3mDmOtz4Az,0.472,0.988,9.0,-3.975,1.0,0.0987,2.02e-05,0.00591,0.123,0.559,98.5,169173.0,4.0
116,No Revolution,['The Explosion'],spotify:track:4IHn1yjC4TMN1uReNf8UQO,0.353,0.98,11.0,-2.84,1.0,0.0992,0.000981,5.19e-05,0.101,0.45,118.426,166493.0,4.0
117,Mommy's Little Monster,['Social Distortion'],spotify:track:7IJHeJkEXfniwQHbvoEcH9,0.151,0.921,2.0,-4.703,1.0,0.0671,0.000162,0.0,0.175,0.426,177.993,212933.0,4.0
118,Last One Out Of Liberty City,['Less Than Jake'],spotify:track:3UY9t62ZMlvfPHoTMSq1uw,0.207,0.977,3.0,-5.117,1.0,0.108,0.0181,0.0,0.342,0.661,189.414,121360.0,4.0
119,Help Save The Youth Of America From Exploding,['Less Than Jake'],spotify:track:4gGQkFLQEEb4UbjfnqcFvh,0.448,0.947,2.0,-4.781,1.0,0.113,0.00322,0.0,0.185,0.729,140.043,173973.0,4.0
120,Motto,['Less Than Jake'],spotify:track:3a2kDfmN9qDYnEUsXbXGwn,0.22,0.974,2.0,-3.903,1.0,0.142,0.000359,0.00206,0.294,0.222,190.539,194867.0,4.0
121,Great American Sharpshooter,['Less Than Jake'],spotify:track:6jHPAsp8w0UQSHG8gp4WcH,0.586,0.965,8.0,-4.882,1.0,0.0631,0.109,7.87e-06,0.351,0.813,103.702,88893.0,4.0
